Date,Open,High,Low,Close,Adj Close,Volume
2018-11-14,17.1200008392334,17.1200008392334,15.880000114440918,16.5,14.780166625976562,15200
2018-11-15,15.729999542236328,16.489999771118164,15.489999771118164,16.200000762939453,14.511434555053711,9800
2018-11-16,16.229999542236328,16.3799991607666,14.600000381469727,15.329999923706055,13.73211669921875,12600
2018-11-19,15.609999656677246,16.670000076293945,15.390000343322754,16.15999984741211,14.475605010986328,18300
2018-11-20,15.760000228881836,16.18000030517578,15.760000228881836,16.18000030517578,14.49351978302002,1000
2018-11-21,16.5,17.1200008392334,16.020000457763672,16.020000457763672,14.350198745727539,11700
2018-11-23,15.039999961853027,16.079999923706055,15.020000457763672,15.319999694824219,13.723160743713379,6100
2018-11-26,15.770000457763672,16.610000610351562,15.0,16.610000610351562,14.878698348999023,8400
2018-11-27,15.619999885559082,16.969999313354492,14.789999961853027,16.0,14.332279205322266,9300
2018-11-28,15.539999961853027,16.950000762939453,15.489999771118164,15.489999771118164,13.875439643859863,26100
2018-11-29,15.609999656677246,16.610000610351562,15.449999809265137,15.510000228881836,13.893354415893555,9400
2018-11-30,15.289999961853027,17.100000381469727,15.289999961853027,16.0,14.332279205322266,9400
2018-12-03,16.5,16.899999618530273,15.75,16.459999084472656,14.744332313537598,38100
2018-12-04,16.579999923706055,17.5,15.039999961853027,15.039999961853027,13.472343444824219,28400
2018-12-06,15.010000228881836,15.640000343322754,14.579999923706055,14.899999618530273,13.346936225891113,16500
2018-12-07,15.210000038146973,15.5,14.699999809265137,14.699999809265137,13.167781829833984,7400
2018-12-10,14.960000038146973,15.369999885559082,14.75,15.050000190734863,13.481301307678223,2900
2018-12-11,14.720000267028809,14.869999885559082,13.75,14.470000267028809,12.96175765991211,29600
2018-12-12,14.449999809265137,14.600000381469727,13.630000114440918,13.859999656677246,12.415339469909668,37800
2018-12-13,14.109999656677246,14.789999961853027,13.5,14.380000114440918,12.881136894226074,7200
2018-12-14,14.380000114440918,14.770000457763672,13.800000190734863,14.350000381469727,12.854266166687012,7800
2018-12-17,14.59000015258789,14.59000015258789,14.0,14.0,12.540745735168457,4800
2018-12-18,14.010000228881836,14.649999618530273,14.010000228881836,14.25,12.764689445495605,5700
2018-12-19,14.300000190734863,14.949999809265137,14.0,14.199999809265137,12.71989917755127,23700
2018-12-20,14.420000076293945,15.0,14.050000190734863,15.0,13.436513900756836,11800
2018-12-21,14.819999694824219,14.989999771118164,14.100000381469727,14.220000267028809,12.737813949584961,16200
2018-12-24,14.5,14.5,14.0,14.0,12.540745735168457,1500
2018-12-26,14.25,14.989999771118164,14.039999961853027,14.850000381469727,13.30215072631836,28600
2018-12-27,14.5,14.5,13.529999732971191,14.0,12.540745735168457,49200
2018-12-28,13.920000076293945,15.319999694824219,13.920000076293945,15.319999694824219,13.723160743713379,28700
2018-12-31,14.210000038146973,15.220000267028809,13.880000114440918,14.25,12.764689445495605,39300
2019-01-02,14.0,14.949999809265137,14.0,14.949999809265137,13.391724586486816,8100
2019-01-03,14.869999885559082,14.869999885559082,14.869999885559082,14.869999885559082,13.320063591003418,600
2019-01-04,15.199999809265137,15.75,15.199999809265137,15.75,14.1083402633667,4900
2019-01-07,15.770000457763672,15.930000305175781,15.75,15.75,14.216654777526855,5000
2019-01-08,15.75,16.0,15.75,16.0,14.442317962646484,600
2019-01-09,15.75,15.75,14.710000038146973,15.289999961853027,13.801440238952637,3400
2019-01-10,14.84000015258789,16.0,14.84000015258789,16.0,14.442317962646484,9500
2019-01-11,15.489999771118164,15.949999809265137,15.460000038146973,15.5,13.99099349975586,3000
2019-01-14,15.010000228881836,15.800000190734863,14.699999809265137,15.229999542236328,13.74728012084961,9300
2019-01-15,15.039999961853027,15.949999809265137,15.039999961853027,15.050000190734863,13.58480453491211,2600
2019-01-16,15.25,15.800000190734863,15.239999771118164,15.800000190734863,14.261789321899414,7400
2019-01-17,15.5,17.600000381469727,15.5,15.760000228881836,14.225685119628906,12900
2019-01-18,15.989999771118164,16.270000457763672,15.550000190734863,15.550000190734863,14.036126136779785,21700
2019-01-22,15.600000381469727,16.790000915527344,15.3100004196167,16.790000915527344,15.15540885925293,5000
2019-01-23,15.710000038146973,16.15999984741211,15.510000228881836,16.139999389648438,14.568685531616211,2700
2019-01-24,16.139999389648438,16.139999389648438,15.5600004196167,15.899999618530273,14.352052688598633,3600
2019-01-25,16.209999084472656,16.5,16.209999084472656,16.5,14.893641471862793,800
2019-01-28,16.09000015258789,16.25,16.09000015258789,16.25,14.667981147766113,1100
2019-01-29,16.389999389648438,16.440000534057617,16.3700008392334,16.440000534057617,14.839483261108398,1800
2019-01-30,17.969999313354492,17.969999313354492,17.0,17.020000457763672,15.363015174865723,2100
2019-01-31,17.010000228881836,17.010000228881836,16.709999084472656,16.709999084472656,15.083191871643066,2200
2019-02-01,16.309999465942383,16.729999542236328,16.0,16.010000228881836,14.451342582702637,6900
